Book Name,Author Name,Ratings,Votes,Book Type,Price,Book Link
"NCERT CLASS 8 Curiosity, Textbook of Science 877 2025-26 EDITION",National council of educational research and training,4.3 out of 5 stars,202,Paperback,₹65.00,https://www.amazon.in//NCERT-Curiosity-Textbook-Science-2025-26/dp/9357297723/ref=zg_bs_g_books_d_sccl_9/259-7549272-5565421?psc=1
"Indian Polity Courseware (English), 8th edition by M Laxmikanth for UPSC CSE 2025-26 | 40+ Conceptual Videos | 95 Well-structured Chapters | 18 Insightful Appendices | Full Colour eBook | Solved 13 Previous Years' Prelim Questions (2013–2025) | 12 Years' UPSC Main Exam Questions | Practice Questions",M Laxmikanth,4.1 out of 5 stars,30,Paperback,₹749.00,https://www.amazon.in//Courseware-Laxmikanth-Conceptual-Well-structured-Insightful/dp/9364447670/ref=zg_bs_g_books_d_sccl_10/259-7549272-5565421?psc=1
The Psychology of Money,Morgan Housel,4.6 out of 5 stars,"74,391",Paperback,₹290.00,https://www.amazon.in//Psychology-Money-Morgan-Housel/dp/9390166268/ref=zg_bs_g_books_d_sccl_11/259-7549272-5565421?psc=1
My First Book of Patterns Pencil Control: Patterns Practice book for kids (Pattern Writing) |Best Selling Tracing Book for Kids in India | Early Learning | Tracing Lines & Pattern Writing Activities | Premium Quality Return Gift | Ages 2 - 5 Years | 1.5 hours of fun time,Wonder House Books,4.4 out of 5 stars,"30,789",Paperback,₹125.00,https://www.amazon.in//First-Book-Patterns-Pencil-Control/dp/9387779319/ref=zg_bs_g_books_d_sccl_12/259-7549272-5565421?psc=1
The Power of Your Subconscious Mind: Original Classic Edition | Premium Paperback,Joseph Murphy,4.4 out of 5 stars,"78,113",Paperback,₹149.00,https://www.amazon.in//Power-Your-Subconscious-Mind-Success/dp/8172345666/ref=zg_bs_g_books_d_sccl_13/259-7549272-5565421?psc=1
"PW Maths Made EJEE Class 11 Handwritten Notes By Sachin Jakhar For JEE Main & Advanced Exams | Complete Theory, Basic to Advanced Problems, Special Tricks, PYQ, Detailed Solutions [Paperback] Sachin Jakhar",Sachin Jakhar,4.6 out of 5 stars,80,Paperback,₹423.00,https://www.amazon.in//Handwritten-Advanced-Complete-Solutions-Paperback/dp/9368971013/ref=zg_bs_g_books_d_sccl_14/259-7549272-5565421?psc=1
Atomic Habits: The life-changing million copy bestseller,James Clear,4.6 out of 5 stars,"78,314",Paperback,₹469.00,https://www.amazon.in//Atomic-Habits-James-Clear/dp/1847941834/ref=zg_bs_g_books_d_sccl_15/259-7549272-5565421?psc=1
"Ikigai: The Japanese Secret to a Long and Happy Life | A Global Self-Help Phenomenon that Guides You Towards a Joyful, Balanced, and Meaningful Life",Héctor García,4.6 out of 5 stars,"59,323",Hardcover,₹374.00,https://www.amazon.in//Ikigai-Japanese-Self-Help-Phenomenon-Meaningful/dp/178633089X/ref=zg_bs_g_books_d_sccl_16/259-7549272-5565421?psc=1
"White Nights – Fyodor Dostoyevsky | A Million-Copy Bestseller | A Timeless Story of Love, Longing & Solitude – Penguin Classics",Fyodor Dostoyevsky,4.6 out of 5 stars,Fyodor Dostoyevsky,Mass Market Paperback,₹112.00,https://www.amazon.in//White-Nights-Penguin-Little-Classics/dp/0241252083/ref=zg_bs_g_books_d_sccl_17/259-7549272-5565421?psc=1
PW EaJEE Handwritten Notes For Inorganic Chemistry By Om Pandey | Chapterwise and Topicwise Questions | Complete JEE Main & Advanced Syllabus | Handpicked PYQs [Paperback] Om Pandey,Om Pandey,4.8 out of 5 stars,29,Paperback,₹449.00,https://www.amazon.in//Handwritten-Inorganic-Chemistry-Chapterwise-Handpicked/dp/9371535369/ref=zg_bs_g_books_d_sccl_18/259-7549272-5565421?psc=1
BlackBook of English Vocabulary May 2024,Nikhil Gupta,4.5 out of 5 stars,"1,862",Paperback,₹299.00,https://www.amazon.in//BlackBook-English-Vocabulary-Nikhil-Gupta/dp/819564578X/ref=zg_bs_g_books_d_sccl_19/259-7549272-5565421?psc=1
My First 365 Coloring Book: Jumbo Coloring Book For Kids (With Tear Out Sheets),Wonder House Books,4.5 out of 5 stars,"2,127",Paperback,₹199.00,https://www.amazon.in//My-First-365-Colouring-Book/dp/9390183006/ref=zg_bs_g_books_d_sccl_20/259-7549272-5565421?psc=1
NCERT CLASS 8 NCERT MALHAAR HINDI 871 2025-26 EDITION,National council of educational research and training,4.3 out of 5 stars,113,Paperback,₹65.00,https://www.amazon.in//NCERT-CLASS-MALHAAR-HINDI-2025-26/dp/9357293604/ref=zg_bs_g_books_d_sccl_21/259-7549272-5565421?psc=1
"Sank Magic Practice Copybook, (4 BOOK + 10 REFILL+ 1 Pen +1 Grip) Number Tracing Book for Preschoolers with Pen, Magic Calligraphy Copybook Set Practical Reusable Writing Tool Simple Hand Lettering",Sank Magic,4.0 out of 5 stars,"3,911",Spiral-bound,₹120.00,https://www.amazon.in//Practice-Preschoolers-Calligraphy-Practical-Lettering/dp/9551753437/ref=zg_bs_g_books_d_sccl_22/259-7549272-5565421?psc=1
